Unsolved Sudoku: 
0,0,0,0,0,0,0,8,0,
0,0,0,0,0,0,8,0,0,
0,0,0,0,3,0,0,3,0,
0,0,0,0,0,0,8,0,0,
0,0,0,0,8,0,0,0,0,
0,0,0,3,3,0,0,0,8,
0,0,0,0,0,3,0,0,0,
0,0,2,0,0,0,0,4,0,
0,0,0,0,0,0,2,0,0,
Changed Values: 
1,0,0,0,0,0,1,1,1,
1,0,0,0,0,0,1,1,1,
1,0,1,0,1,1,1,1,1,
0,0,0,1,1,1,1,1,1,
0,0,1,1,1,0,1,1,1,
0,0,1,1,1,0,1,1,1,
0,0,1,1,1,1,1,1,1,
1,0,1,1,1,0,0,1,1,
1,0,1,1,1,1,1,1,0,
Sureness: 
0.6808804,0,0,0,0,0,0.6563645,0.6015928,0.73000115,
0.72208667,0,0,0,0,0,0.6719191,0.95797545,0.96444404,
0.65922225,0,0.73660034,0,0.9347555,0.9620583,0.9941963,0.857195,0.9939804,
0,0,0,0.9264144,0.9422477,0.98868257,0.93294543,0.9988556,0.9948849,
0,0,0.72156525,0.7823956,0.9039246,0,0.997482,0.9967258,0.98738164,
0,0,0.8259821,0.89362395,0.69091004,0,0.9963159,0.99667513,0.9346652,
0,0,0.69437736,0.8430223,0.9112616,0.943355,0.99138063,0.9924211,0.97517484,
0.69150454,0,0.91485125,0.871051,0.92233366,0,0,0.75267696,0.98907626,
0.6157933,0,0.8294784,0.8402821,0.9389923,0.95666414,0.7682123,0.9896309,0,
